id	date	name	location	distance	category	race_type	created_at	race_website	verified	series
18	2007-05-27	26. Tartu Rattaralli	Tartu	126	B	Road Race	2025-01-29 12:26:21.802358	https://tartumaraton.ee/		
19	2007-09-16	10. Tartu Rattamaraton	Otepää	87	B	MTB	2025-01-29 12:53:02.712682	https://tartumaraton.ee/		
17	2008-05-25	27. Tartu Rattaralli	Tartu	133	B	Road Race	2025-01-29 10:43:16.198679	https://tartumaraton.ee/		
20	2008-09-21	11. Tartu Rattamaraton	Otepää	89	B	MTB	2025-01-29 12:53:02.712682	https://tartumaraton.ee/		
16	2009-05-31	28. Tartu Rattaralli	Tartu	125	B	Road Race	2025-01-28 14:27:36.487616	https://tartumaraton.ee/		
21	2009-09-20	12. Tartu Rattamaraton	Otepää	89	B	MTB	2025-01-29 12:53:02.712682	https://tartumaraton.ee/		
15	2010-05-30	29. Tartu Rattaralli	Tartu	133	B	Road Race	2025-01-28 14:25:12.738304	https://tartumaraton.ee/		
22	2010-09-19	13. Tartu Rattamaraton	Otepää	89	B	MTB	2025-01-29 12:53:02.712682	https://tartumaraton.ee/		
14	2011-05-29	30. Tartu Rattaralli	Tartu	135	B	Road Race	2025-01-28 14:21:29.121067	https://tartumaraton.ee/		
23	2011-09-18	14. Tartu Rattamaraton	Otepää	89	B	MTB	2025-01-29 12:53:02.712682	https://tartumaraton.ee/		
13	2012-05-27	31. Tartu Rattaralli	Tartu	137	B	Road Race	2025-01-28 14:16:46.11825	https://tartumaraton.ee/		
24	2012-09-16	15. Tartu Rattamaraton	Otepää	89	B	MTB	2025-01-29 12:53:02.712682	https://tartumaraton.ee/		
12	2013-06-02	32. Tartu Rattaralli	Tartu	135	B	Road Race	2025-01-28 14:11:04.672353	https://tartumaraton.ee/		
25	2013-09-15	16. Tartu Rattamaraton	Otepää	89	B	MTB	2025-01-29 12:53:02.712682	https://tartumaraton.ee/		
11	2014-06-01	33. Tartu Rattaralli	Tartu	133	B	Road Race	2025-01-28 14:07:40.413515	https://tartumaraton.ee/		
26	2014-09-21	17. Tartu Rattamaraton	Otepää	89	B	MTB	2025-01-29 12:53:02.712682	https://tartumaraton.ee/		
71	2015-05-03	15. Mulgi Rattamaraton	Mulgi		C	MTB	2025-01-31 19:19:32.223965	https://www.rattamaratonid.ee/		Bosch
147	2015-05-06	Filter Temposari I etapp	Jüri	26.3	C	TTP	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
72	2015-05-16	18. Tallinna Rattamaraton	Tallinn		C	MTB	2025-01-31 19:19:32.223965	https://www.rattamaratonid.ee/		Bosch
148	2015-05-20	Filter Temposari II etapp	Tabasalu	16.93	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
10	2015-05-31	34. Tartu Rattaralli	Tartu	142	B	Road Race	2025-01-28 13:59:30.485889	https://tartumaraton.ee/		
149	2015-06-03	Filter Temposari III etapp	Pirita	9.72	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
73	2015-06-07	17. Rõuge Rattamaraton	Rõuge		C	MTB	2025-01-31 19:19:32.223965	https://www.rattamaratonid.ee/		Bosch
150	2015-06-17	Filter Temposari IV etapp	Jüri	26.3	C	TTP	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
74	2015-06-21	13. Rakvere Rattamaraton	Rakvere		C	MTB	2025-01-31 19:19:32.223965	https://www.rattamaratonid.ee/		Bosch
75	2015-07-12	15. Rakke Rattamaraton	Rakke		C	MTB	2025-01-31 19:19:32.223965	https://www.rattamaratonid.ee/		Bosch
76	2015-07-26	15. Elva Rattamaraton	Elva		C	MTB	2025-01-31 19:19:32.223965	https://www.rattamaratonid.ee/		Bosch
151	2015-07-29	Filter Temposari V etapp	Tabasalu	16.93	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
77	2015-08-09	16. Otepää Rattamaraton	Otepää		C	MTB	2025-01-31 19:19:32.223965	https://www.rattamaratonid.ee/		Bosch
152	2015-08-19	Filter Temposari VI etapp	Pirita	9.72	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
78	2015-08-22	Alutaguse Rattamaraton	Alutaguse		C	MTB	2025-01-31 19:19:32.223965	https://www.rattamaratonid.ee/		Bosch
27	2015-09-20	18. Tartu Rattamaraton	Otepää	89	B	MTB	2025-01-29 12:53:02.712682	https://tartumaraton.ee/		
122	2015-12-31	Bosch MTB Marathon Series GC 2015	Estonia		B	GC	2025-02-03 15:01:15.826176	https://www.rattamaratonid.ee/		Bosch
233	2015-12-31	Estonian Cup Marathon Series GC 2015	Estonia		B	GC	2025-04-22 16:59:51.512181	https://estoniancup.ee		Estonian Cup
79	2016-04-24	16. Elva Rattamaraton	Elva		C	MTB	2025-01-31 19:19:32.223965	https://www.rattamaratonid.ee/		Bosch
153	2016-05-04	Filter Temposari I etapp	Jüri	26.8	C	TTP	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
80	2016-05-07	16. Mulgi Rattamaraton	Mulgi		C	MTB	2025-01-31 19:19:32.223965	https://www.rattamaratonid.ee/		Bosch
154	2016-05-18	Filter Temposari II etapp	Kiili	12.7	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
81	2016-05-21	2. Alutaguse Rattamaraton	Alutaguse		C	MTB	2025-01-31 19:19:32.223965	https://www.rattamaratonid.ee/		Bosch
9	2016-05-29	35. Tartu Rattaralli	Tartu	135	B	Road Race	2025-01-28 13:52:00.636923	https://tartumaraton.ee/		
155	2016-06-01	Filter Temposari III etapp	Pirita	9.72	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
82	2016-06-11	18. Rõuge Rattamaraton	Rõuge		C	MTB	2025-01-31 19:19:32.223965	https://www.rattamaratonid.ee/		Bosch
156	2016-06-15	Filter Temposari IV etapp	Jüri	26.8	C	TTP	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
83	2016-06-19	14. Rakvere Rattamaraton	Rakvere		C	MTB	2025-01-31 19:19:32.223965	https://www.rattamaratonid.ee/		Bosch
84	2016-07-10	16. Rakke Rattamaraton	Rakke		C	MTB	2025-01-31 19:19:32.223965	https://www.rattamaratonid.ee/		Bosch
157	2016-08-03	Filter Temposari V etapp	Kiili	12.7	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
158	2016-08-17	Filter Temposari VI etapp	Pirita	9.72	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
85	2016-08-20	17. Otepää Rattamaraton	Otepää		C	MTB	2025-01-31 19:19:32.223965	https://www.rattamaratonid.ee/		Bosch
86	2016-09-04	19. Tallinna Rattamaraton	Tallinn		C	MTB	2025-01-31 19:19:32.223965	https://www.rattamaratonid.ee/		Bosch
159	2016-09-11	Filter Temposari Finaal	Ikla	24.94	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
28	2016-09-18	19. Tartu Rattamaraton	Otepää	89	B	MTB	2025-01-29 12:53:02.712682	https://tartumaraton.ee/		
123	2016-12-31	Bosch MTB Marathon Series GC 2016	Estonia		B	GC	2025-02-03 15:01:15.826176	https://www.rattamaratonid.ee/		Bosch
234	2016-12-31	Estonian Cup Marathon Series GC 2016	Estonia		B	GC	2025-04-22 16:59:51.512181	https://estoniancup.ee		Estonian Cup
87	2017-04-23	3. Alutaguse Rattamaraton	Alutaguse		C	MTB	2025-01-31 19:19:32.223965	https://www.rattamaratonid.ee/		Bosch
225	2017-04-29	4. Kuusalu Rattamaraton	Kuusalu		C	MTB	2025-04-22 14:33:13.504078	https://estoniancup.ee		Estonian Cup
160	2017-05-03	Filter Temposari I etapp	Jüri	14.98	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
226	2017-05-13	3. Põleva Kivi Rattamaraton	Illuka		C	MTB	2025-04-22 14:33:13.504078	https://estoniancup.ee		Estonian Cup
161	2017-05-17	Filter Temposari II etapp	Kiili	25.12	C	TTP	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
88	2017-05-20	17. Mulgi Rattamaraton	Mulgi		C	MTB	2025-01-31 19:19:32.223965	https://www.rattamaratonid.ee/		Bosch
8	2017-05-28	36. Tartu Rattaralli	Tartu	135	B	Road Race	2025-01-28 13:26:17.880603	https://tartumaraton.ee/		
162	2017-05-31	Filter Temposari III etapp	Pirita	9.72	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
227	2017-06-03	3. Valgehobusemäe Rattamaraton	Valgehobusemäe		C	MTB	2025-04-22 14:33:13.504078	https://estoniancup.ee		Estonian Cup
89	2017-06-10	11. Jõelähtme Rattamaraton	Jõelähtme		C	MTB	2025-01-31 19:19:32.223965	https://www.rattamaratonid.ee/		Bosch
132	2017-06-10	11. Jõelähtme Rattamaraton - XXL-sõit	Jõelähtme		C	MTB	2025-02-05 11:27:24.307315	https://www.rattamaratonid.ee/		Bosch
163	2017-06-14	Filter Temposari IV etapp	Jüri	14.98	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
90	2017-06-18	15. Rakvere Rattamaraton	Rakvere		C	MTB	2025-01-31 19:19:32.223965	https://www.rattamaratonid.ee/		Bosch
228	2017-07-01	15. Raplamaa Rattamaraton	Raplamaa		C	MTB	2025-04-22 14:33:13.504078	https://estoniancup.ee		Estonian Cup
91	2017-07-09	Škoda Laagri 17. Rakke Rattamaraton	Rakke		C	MTB	2025-01-31 19:19:32.223965	https://www.rattamaratonid.ee/		Bosch
229	2017-07-15	10. Kalevipoja Rattamaraton	Kuremaa		C	MTB	2025-04-22 14:33:13.504078	https://estoniancup.ee		Estonian Cup
164	2017-07-26	Filter Temposari V etapp	Kiili	25.12	C	TTP	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
92	2017-07-29	17. Elva Rattamaraton	Elva		C	MTB	2025-01-31 19:19:32.223965	https://www.rattamaratonid.ee/		Bosch
165	2017-08-09	Filter Temposari VI etapp	Pirita	9.72	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
230	2017-08-12	3. Lähte Rattamaraton	Lähte		C	MTB	2025-04-22 14:33:13.504078	https://estoniancup.ee		Estonian Cup
93	2017-08-20	19. Rõuge Rattamaraton	Rõuge		C	MTB	2025-01-31 19:19:32.223965	https://www.rattamaratonid.ee/		Bosch
133	2017-08-20	19. Rõuge Rattamaraton - XXL-sõit	Rõuge		C	MTB	2025-02-05 11:27:24.307315	https://www.rattamaratonid.ee/		Bosch
231	2017-08-26	18. Otepää Rattamaraton	Otepää		C	MTB	2025-04-22 14:33:13.504078	https://estoniancup.ee		Estonian Cup
166	2017-08-27	Filter Temposari Finaal	Ikla	24.94	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
